Kuartal,Laba Rugi
Q1/2011,3260432
Q2/2011,6786901
Q3/2011,10436174
Q4/2011,15296501
Q1/2012,4673092
Q2/2012,8959546
Q3/2012,13631299
Q4/2012,18681350
Q1/2013,5276591
Q2/2013,9325652
Q3/2013,14420917
Q4/2013,19916654
Q1/2014,6112760
Q2/2014,12070873
Q3/2014,18478941
Q4/2014,24759999
Q1/2015,5496173
Q2/2015,11768510
Q3/2015,17200185
Q4/2015,24872130
Q1/2016,7460988
Q2/2016,28290564
Q3/2016,35614831
Q4/2016,41380007
Q1/2017,7767118
Q2/2017,14356912
Q3/2017,22142475
Q4/2017,30877015
Q1/2018,6228265
Q2/2018,10847249
Q3/2018,19317619
Q4/2018,28940825
Q1/2019,9645970
Q2/2019,21647800
Q3/2019,30262521
Q4/2019,39498597
Q1/2020,4974154
Q2/2020,10440003
Q3/2020,16925914
Q4/2020,21757779
Q1/2021,4679570
Q2/2021,9951624
Q3/2021,16775708
Q4/2021,27557134
