Tanggal,Laba Rugi
January 2011,82872
February 2011,164236
March 2011,260005
April 2011,330984
May 2011,401884
June 2011,544000
July 2011,625078
August 2011,657087
September 2011,794703
October 2011,898254
November 2011,976377
December 2011,1074485
January 2012,61105
February 2012,217957
March 2012,279074
April 2012,360561
May 2012,469711
June 2012,610674
July 2012,690315
August 2012,805228
September 2012,946575
October 2012,1026196
November 2012,1107330
December 2012,1118131
January 2013,53535
February 2013,231726
March 2013,369660
April 2013,500909
May 2013,579235
June 2013,729331
July 2013,806571
August 2013,923949
September 2013,1070170
October 2013,1175696
November 2013,1264885
December 2013,1384965
January 2014,94274
February 2014,178140
March 2014,334119
April 2014,364648
May 2014,383417
June 2014,487116
July 2014,511856
August 2014,584200
September 2014,714076
October 2014,875200
November 2014,999065
December 2014,1114890
January 2015,76985
February 2015,215335
March 2015,386201
April 2015,454482
May 2015,472873
June 2015,578894
July 2015,657230
August 2015,766374
September 2015,894709
October 2015,984928
November 2015,1122886
December 2015,1385418
January 2016,117474
February 2016,257193
March 2016,437370
April 2016,598874
May 2016,759340
June 2016,2463455
July 2016,1089803
August 2016,1261148
September 2016,2950292
October 2016,1469220
November 2016,1567931
December 2016,1646856
January 2017,120137
February 2017,261500
March 2017,442776
April 2017,573206
May 2017,716947
June 2017,926426
July 2017,994177
August 2017,1076698
September 2017,1301308
October 2017,1411473
November 2017,1552037
December 2017,1607343
January 2018,110367
February 2018,264940
March 2018,452009
April 2018,551778
May 2018,725594
June 2018,888668
July 2018,958918
August 2018,1125170
September 2018,1320902
October 2018,1414063
November 2018,1569207
December 2018,1574884
January 2019,60127
February 2019,211697
March 2019,408065
April 2019,484625
May 2019,589225
June 2019,787232
July 2019,853164
August 2019,952695
September 2019,1114892
October 2019,1244172
November 2019,1304157
December 2019,1517685
January 2020,121154
February 2020,224019
March 2020,236182
April 2020,505426
May 2020,613747
June 2020,836613
July 2020,935900
August 2020,1103328
September 2020,1302878
October 2020,1267297
November 2020,1405926
December 2020,1702942
January 2021,139914
February 2021,273193
March 2021,178353
April 2021,594865
May 2021,781726
June 2021,779656
July 2021,1032660
August 2021,1202067
September 2021,1399428
October 2021,1595271
November 2021,1792618
December 2021,2014275
