Kuartal,Laba Rugi
Q1/2011,260057
Q2/2011,544175
Q3/2011,794969
Q4/2011,962695
Q1/2012,270351
Q2/2012,600022
Q3/2012,945632
Q4/2012,1193304
Q1/2013,371628
Q2/2013,747254
Q3/2013,1096281
Q4/2013,1376387
Q1/2014,326380
Q2/2014,478194
Q3/2014,716413
Q4/2014,1120035
Q1/2015,388113
Q2/2015,582497
Q3/2015,687008
Q4/2015,1369830
Q1/2016,449342
Q2/2016,2414098
Q3/2016,2721716
Q4/2016,2741103
Q1/2017,449232
Q2/2017,920770
Q3/2017,1164445
Q4/2017,1295004
Q1/2018,461902
Q2/2018,907272
Q3/2018,1349866
Q4/2018,1781173
Q1/2019,420789
Q2/2019,802607
Q3/2019,1135335
Q4/2019,1641743
Q1/2020,238240
Q2/2020,849060
Q3/2020,1318692
Q4/2020,1909221
Q1/2021,181480
Q2/2021,789121
Q3/2021,1330845
Q4/2021,2005801
