Tanggal,Laba Rugi
January 2011,55761
February 2011,134001
March 2011,241886
April 2011,318652
May 2011,386858
June 2011,431372
July 2011,476869
August 2011,534128
September 2011,586699
October 2011,738783
November 2011,857498
December 2011,832227
January 2012,211655
February 2012,375180
March 2012,497548
April 2012,665404
May 2012,793474
June 2012,909542
July 2012,940186
August 2012,959432
September 2012,1048227
October 2012,1103195
November 2012,1231617
December 2012,1439145
January 2013,67878
February 2013,118541
March 2013,195683
April 2013,256031
May 2013,307782
June 2013,245262
July 2013,221551
August 2013,250550
September 2013,356236
October 2013,486091
November 2013,469639
December 2013,597459
January 2014,12605
February 2014,64344
March 2014,286028
April 2014,344228
May 2014,410508
June 2014,502171
July 2014,500229
August 2014,530936
September 2014,587957
October 2014,594507
November 2014,595768
December 2014,602432
January 2015,23249
February 2015,338631
March 2015,288046
April 2015,289934
May 2015,266040
June 2015,315336
July 2015,337363
August 2015,423517
September 2015,358462
October 2015,632248
November 2015,754502
December 2015,730217
January 2016,147997
February 2016,248213
March 2016,501335
April 2016,606580
May 2016,624031
June 2016,760302
July 2016,1006778
August 2016,1050729
September 2016,1210928
October 2016,1221142
November 2016,998135
December 2016,1094544
January 2017,123524
February 2017,280663
March 2017,459868
April 2017,586390
May 2017,668670
June 2017,731167
July 2017,776001
August 2017,964162
September 2017,1204927
October 2017,1277889
November 2017,1335196
December 2017,1385465
January 2018,148619
February 2018,85453
March 2018,260593
April 2018,202473
May 2018,199802
June 2018,-59765
July 2018,110507
August 2018,138523
September 2018,315765
October 2018,427148
November 2018,653958
December 2018,779061
January 2019,-585300
February 2019,83052
March 2019,827695
April 2019,950005
May 2019,958269
June 2019,1376748
July 2019,1600950
August 2019,1736471
September 2019,1968387
October 2019,2342259
November 2019,2437226
December 2019,2558415
January 2020,357987
February 2020,521015
March 2020,471315
April 2020,708454
May 2020,920379
June 2020,1078604
July 2020,1501826
August 2020,1689704
September 2020,1807711
October 2020,2728177
November 2020,3457397
December 2020,3921602
January 2021,159502
February 2021,-312560
March 2021,-348856
April 2021,349994
May 2021,653020
June 2021,883765
July 2021,1593191
August 2021,2127526
September 2021,2196985
October 2021,2489114
November 2021,2786330
December 2021,3036314
