Kuartal,Laba Rugi
Q1/2011,159651
Q2/2011,368858
Q3/2011,516508
Q4/2011,1010257
Q1/2012,500979
Q2/2012,911955
Q3/2012,1056913
Q4/2012,1386433
Q1/2013,194020
Q2/2013,227769
Q3/2013,361832
Q4/2013,548416
Q1/2014,474450
Q2/2014,642794
Q3/2014,617237
Q4/2014,838170
Q1/2015,288046
Q2/2015,315336
Q3/2015,356462
Q4/2015,4647668
Q1/2016,501335
Q2/2016,760302
Q3/2016,1210928
Q4/2016,1274836
Q1/2017,459868
Q2/2017,731167
Q3/2017,1204927
Q4/2017,1377885
Q1/2018,260593
Q2/2018,-59765
Q3/2018,315765
Q4/2018,1368057
Q1/2019,827695
Q2/2019,1376748
Q3/2019,1968387
Q4/2019,2558415
Q1/2020,471315
Q2/2020,1078604
Q3/2020,1807711
Q4/2020,3921602
Q1/2021,-348856
Q2/2021,883765
Q3/2021,2196985
Q4/2021,3036314
